id,text_cleaned,text
1372962747240083460,steve win war till get bucky salutes starts walk away come girls playing song,"STEVE: Don’t win the war till I get there!
BUCKY: (He salutes then starts to walk away) Come on girls. They’re playing our song."
1362133967252508674,every black n white album cover screams album year,RT @nkogneato08: Every black n white album cover screams album of the year.
1372627377285705728,never fought us not us united celebrating snydercut already released made,"""...He's never fought us. Not us united.""

Celebrating that the #SnyderCut has already released, I made this commem… https://t.co/FSkYHbx8mu"
1372971427486388226,rm proud rm rm twt,"@GUKING97 RM WE ARE SO PROUD OF YOU!
#RMixtape_6주년_축하해 #넌_RM냥_너를해줘 #6YearsOfRMixtape #6YearsWithDoYou #4YearsWithChange #RM @BTS_twt"
1362112400158294018,wnba top alltime nogivesports wnba cynthiacooper lisaleslie sherylswoopes dianataurasi,"WNBA Top 5 ALL-TIME
#nogivesports #wnba #cynthiacooper #lisaleslie #sherylswoopes #dianataurasi #mayamoore… https://t.co/RVACzh31Va"
1362121135094177813,aside working new album also starring new animated liveaction,"Aside from working on his new album, @NickyJamPR will also be starring in the new animated and live-action film… https://t.co/zlvbRC720g"
1372983017350688770,two interesting blogs check wan na dive deeper lyrical visual interpretations,Two very interesting blogs to check out if you wanna dive deeper into lyrical and visual interpretations of Do You.… https://t.co/uYB2bbmNvK
1362193009689976833,music amp media platforms facebook entertainment followback,@BBill407 on all music &amp; media platforms! https://t.co/K0PUTbFq3Z #Facebook #Entertainment #followback #hiphop… https://t.co/S2n9MBfPOS
1372621178964090881,sab log apne dosto ke sath jao aur enjoy karna kal theater par best tommorow mumbaisaga,"Sab log apne dosto ke sath jao aur enjoy karna kal theater par

@TheJohnAbraham @emraanhashmi all the best for tommorow💪😍🤟

#mumbaisaga"
1370042314119213057,thank much seokjin masterpiece jin seokjin bts twt,"@taegguqkie thank you so much seokjin for this masterpiece 💙

#100DaysWithAbyss #JIN #진 #SEOKJIN #김석진 #BTS #방탄소년단진 @BTS_twt"
1372966939350462483,rm proud rm rm twt,"@hxneyhug_ RM WE ARE SO PROUD OF YOU 

#RMixtape_6주년_축하해 #넌_RM냥_너를해줘 #6YearsOfRMixtape #6YearsWithDoYou #4YearsWithChange #RM  
@BTS_twt"
1362145968695611394,thank u kuaena iuaena lets go lets stream celebrity music platform vote iu voting,Thank u K-Uaena 😍😍.. I-Uaena lets go lets stream  Celebrity in all music platform and vote IU in all of voting site… https://t.co/WC9zEHKzYY
1372972720594563072,print voice remedy rm rmixtape rmixes,"@Namjoon_print Voice 
#RMixtape_6주년_축하해 
#우리의_ReMedy_너의_목소리
#너의_음악이_들린지_6년
#넌_RM냥_너를해줘 
#RMixtape
#6YearsOfRMixtape
#ThankyouforRM1 #RMixes"
1372965070259417088,justin bieber x burna boy,Justin Bieber x Burna Boy 🔥🇯🇲
1372982196747788289,even tho recently discovered obsessed truly underrated masterpiece not believe,Even tho I recently discovered RM1 I'm obsessed because it truly is an underrated masterpiece and I can't believe I… https://t.co/CW2VyxWYIP
1372964644436905984,respect leaving body someone disses justin bieber,The respect leaving my body when someone disses Justin Bieber : https://t.co/UTaseVHTRC
1372627270788116491,yo tin man yeeting everyone snydercut justiceleague,Yo TIN MAN yeeting everyone 😂😂😂😂 #SNYDERCUT #JUSTICELEAGUE
1370042436508995587,thank much seokjin masterpiece jin seokjin bts twt,"@urcutecake thank you so much seokjin for this masterpiece 💜

#100DaysWithAbyss #JIN #진 #SEOKJIN #김석진 #BTS #방탄소년단진 @BTS_twt"
1372982468425478148,rm proud rm rm twt,"@ourminari RM WE ARE SO PROUD OF YOU 
#RMixtape_6주년_축하해 #넌_RM냥_너를해줘 #6YearsOfRMixtape #6YearsWithDoYou #4YearsWithChange #RM @BTS_twt"
1362229133531570180,gamestop stocks story nine film projects development entertainment,"The GameStop Stocks Story Has Nine Film Projects In Development 

#Entertainment  
https://t.co/N7t9qdOifG"
1372971539331702796,one ever even not perfect limited edition,"« you the only one ever even if you’re not perfect you’re limited edition.
do you do you do you do you (do the fuk… https://t.co/rxeBHg6nQK"
1362108953081966595,hello father doctor successfully cured many patients past dedicated practice,"Hello! 

My father, a doctor, has successfully cured many patients in the past through his dedicated practice.

Now… https://t.co/W0s7S7AKG3"
1372624765144289282,not need watch wait tomorrowi not need watch wait tomorrowi not need,"I don't need to watch it, I can wait for tomorrow.I don't need to watch it, I can wait for tomorrow.I don't need to… https://t.co/ZsKrGMftOV"
1372985978189664261,print twt voice remedy rm,"@Namjoon_print @BTS_twt Voice 
#RMixtape_6주년_축하해 
#우리의_ReMedy_너의_목소리
#너의_음악이_들린지_6년
#넌_RM냥_너를해줘 
#RMixtape… https://t.co/RUzrfEcWbK"
1362146168860385281,shreya ghoshal billboard anupamaparameswaran pathan prabhas radheshyam sarkaaruvaaripaata valimai,"RT @BiswajitMedhi18: SHREYA GHOSHAL ON BILLBOARD
#AnupamaParameswaran #Pathan #Prabhas #RadheShyam #SarkaaruVaariPaata #Valimai️ https://t.…"
1372967399473954833,rm proud rm rm twt,"@StefBE5 RM WE ARE SO PROUD OF YOU 
#RMixtape_6주년_축하해 #넌_RM냥_너를해줘 #6YearsOfRMixtape #6YearsWithDoYou #4YearsWithChange #RM @BTS_twt"
1372974319517761539,songs comfome happy days sad days anxious days onhe translator feelings,"His songs comfort me on my happy days, sad days, anxious days and so on...he is the translator of my feelings and e… https://t.co/CiukUuPuQX"
1372964435967500289,believe justin bieber cursed us,Can’t believe Justin Bieber has cursed us AGAIN
1362118592595169281,debut ep live youtube subscribe channel today released ep subscribe follow,RT @Marathon_85: Debut EP is now LIVE on YouTube!!! Subscribe to our channel today! Marathon85 just released its EP!! #subscribe #follow #f…
1372970457092091904,came back crying visited namjoon yous set lots fo food way,Just came back from crying over how all of them 6 visited namjoon on do you's set with lots fo food. The way yoongi… https://t.co/vEQEcpC4f1
1372963312770691079,thinking based mcu bucky arnie roth quite literally cap gay best friend oh queerbait,thinking about how they based mcu bucky on arnie roth.... quite literally cap’s gay best friend .... oh the queerbait!
1372618697249013764,review falconandwintersoldier check thought review,Review for #FalconAndWinterSoldier is up! Check out what myself and @NickMuhlFilm thought! #Review #MCU… https://t.co/WDsZGsrcyr
1372622665006120964,empire gave stars zacksnydersjusticeleague falconandwintersoldier,So Empire gave 3 stars to both #ZackSnydersJusticeLeague and #FalconAndWinterSoldier ??? https://t.co/dMxALAdfB4
1372625243332825096,know minutes justiceleague crazy anyone else getting thanosinfity stones vibes,I know I'm only 40 minutes into #JusticeLeague  but am I crazy or is anyone else getting Thanos/Infity stones vibes
1362230062657900546,salmankhan massive entry pathan burjkhalifa amp seen climax film,RT @SKDiehardFans: #SalmanKhan will have a MASSive Entry in #Pathan on #BurjKhalifa &amp; will be seen in the climax of film. https://t.co/l873…
1372965216380727300,ive listened songs already tell justin bieber album slaps hasnt dropped bad album yet,"RT @MarkyWap: ive listened to 3 songs and can already tell this justin bieber album slaps, hasnt dropped a bad album yet"
1362172416630341635,riah currently making layer wedding cake bossing around lucky love,Riah is currently making a 6 layer wedding cake! And bossing me around! 😒🤣 She’s lucky I love her! 🙄 I’m about 👌🏽 t… https://t.co/JxTlRRtojH
1372777483645251584,two kajal starers mumbaisaga mosagallu carrying positive reports early shows,"The two kajal starers #MumbaiSaga and #Mosagallu are carrying positive reports from the early shows !! 
Blockbuster… https://t.co/AaRILVLv7g"
1372788235059961858,one best books read last year face korean novel set megacity seoul,"One of the best books that I read last year was If I had your face. Korean novel set in megacity of seoul, it talke… https://t.co/IIBAWIzWZv"
1370042424932757507,thank much seokjin masterpiece jin seokjin bts twt,"RT @kthvnte1: @sn0wduckyap thank you so much seokjin for this masterpiece🤍

#100DaysWithAbyss #JIN #진 #SEOKJIN #김석진 #BTS #방탄소년단진 @BTS_twt"
1372764108999643140,two releases today mumbaisaga hindi mosagallu telugu best wishes,"RT @UnitedCinematic: . @MsKajalAggarwal has two releases today..

#MumbaiSaga in Hindi and #Mosagallu in Telugu..

Best Wishes! https://t.c…"
1372962729913368586,promo sam bucky even together,all that promo and sam and bucky weren’t even together
1372620661772988418,convenient snydercut remember literally nothing original justiceleague,What's convenient about the #SnyderCut is I remember literally nothing from the original #JusticeLeague. https://t.co/oDyCifOd4B
