id,text_cleaned,text
1362096718897156098,think events threatening democracy worldwide deeply interconnected ever,I think the events that are threatening democracy worldwide are deeply interconnected. Now more than ever democracy… https://t.co/FXGGJFXsJj
1372622246091448320,anybody think bother republican putin making unveiled threat president,RT @LisamonaNet: Does anybody think it will bother any Republican that Putin is making an unveiled threat against the President of the Unit…
1372884996365508614,yogi ji new identity hindu,"RT @Asthana7792: Yogi ji is a new identity of Hindu..
@myogiadityanath
#योगीजी_के_4_साल_बेमिसाल
#काम_दमदार_योगी_सरकार https://t.co/ow6oiota…"
1362089162510245892,mean petrol costing today not drive car yeh log chalayege desh,"What do you mean Petrol costing 100Rs/liter today 

I Don't drive car.....

Yeh log chalayege desh

😤😤😤😤… https://t.co/otYwJGhqzc"
1362101827525697539,said gdp badega according gdp means g gas diesel p petrol modihaitomehangaihai,"He said GDP badega ,
According to him GDP means
G - Gas
D - Diesel
P - Petrol 

#ModiHaiToMehangaiHai"
1373169053502566401,insa internationaldayofhappiness really thankful guru saint dr singh ji insan shown,"RT @DeviChand_Insa: #InternationalDayOfHappiness
I am really thankful to my guru Saint Dr. @gurmeetramrahim Singh ji insan who has shown me…"
1373318408805097472,official ind live anildeshmukh parambir singh sachin vaze case,RT @TeamSP_Official: 9pm @Shehzad_Ind  live on @timesnow with @roypranesh #AnilDeshmukh Parambir Singh Sachin Vaze case
1362094758747729922,plz not blame nimo tai petrol price not drink petrol,plz don't blame nimo tai for petrol price as she don't drink petrol. #petrol100
1362103656577916930,find stories much grab copy guardian thursday vaccine bitcoin,"Find these stories and much more when you grab a copy of The Guardian on Thursday.

#Vaccine #Bitcoin #Ebola… https://t.co/YIZ22zkpMd"
1372900771583303683,mgnrega demand driven wage employment scheme made timely provisions rural recovery many,#MGNREGA: A demand driven wage #employment scheme has made timely provisions for rural #recovery in many areas.… https://t.co/9iivXQaiXa
1372888109575114756,medical college uttar pradesh dont mislead media check list medical,"RT @SydAliRaza: There are only 21 medical college in uttar pradesh 
Dont be a mislead media @timesofindia 
Check the list of medical colleg…"
1362088838374379520,modihaitomehangaihai cooking gas price time high rs increased week govt,"#ModiHaiToMehangaiHai Cooking Gas price is at all time high, Rs 50 increased this week itself!
What this govt wants… https://t.co/e5ZaKooo3y"
1373168838095740928,farmers fighting rights lands dignity farmers not terrorist,"@POTUS Farmers are fighting for their rights their lands, their dignity ..we are farmers not terrorist ..we are fig… https://t.co/rAy72zZt9K"
1362084963789791233,games choose get bundlefest spirit get bundlefest steam,28 games to choose from! Get in the BundleFest spirit https://t.co/F8EVif5W1l #get #bundlefest #steam #sales… https://t.co/9dwl0mRX5m
1362094963803250691,going gets tough nehru gets going petrolpricehike petroldieselpricehike,"When the going gets tough Nehru gets you going.
 #petrol100 #PetrolPriceHike #PetrolDieselPriceHike"
1362084225495625730,upa crude oil price peak significant increase petrol prices modi,"Under UPA crude oil price was at the peak but there was no significant increase in petrol prices
Under Modi, crude… https://t.co/YDG8P9u5Sw"
1362090521611489283,farm bills result pricerise essential commodities not fight farmers us,"RT @DelhiPYC: These 3 farm bills will result in price-rise in essential commodities. This is not just fight of the farmers but all of us!
#…"
1372621973398769664,left reduced us country half us cheering potentially cruel elder abuse,The left has reduced us to a country where half of us are cheering for potentially cruel elder abuse.
1362092225727852546,rightwing lega back power us conservatives friend italy news politics,"Right-Wing Lega Back in Power: US Conservatives Have a Friend in Italy! #News #Politics 
 https://t.co/KKJLr0JD57"
1362090828311633921,getting info breaking read fox news not miss,"@LisaMarieBoothe Are you getting all the info on #BREAKING? If you read Fox News, don't miss out on what 28 other s… https://t.co/ithTMdzDpQ"
1372885035431251968,pradeep mau gives evidence bijli saḍak amp pani improved last years,"RT @VikkyThakur22: Pradeep from Mau gives evidence of how Bijli Saḍak &amp; Pani has improved in UP in last 4 years 

#योगीजी_के_4_साल_बेमिसाल…"
1362077732205596672,petrol l touched rs liter help common man km reduced meter meter,"Petrol l has touched Rs 100 / liter . 

To help the common man  now 1 KM should  be reduced from 1000 meter to 600 meter. #petrol100"
1372623454416089093,believe chief medical adviser president ophthalmologist pass,"Who should we believe, the Chief Medical Adviser to the President or an ophthalmologist who couldn’t pass his recer… https://t.co/cT0WGPeFCN"
1373320749914624001,think baby penguin expensive rare breed world cost u per month parambirsingh,"RT @Daseemkumar: I think baby penguin is the most expensive and rare breed in this world, it will cost u 100cr per month #ParambirSingh #Ud…"
1373318536328663043,vaze must feeling like bank rm target,"Vaze must be feeling like a #Bank RM
#100Crore target😂😂"
1373168709301280772,action happiness investing right stressfree life,"RT @Gayathrimohan_: @MaxBupa My action for happiness is ""Investing Right for a Stress-free Life"". 

#ContestAlert #GiveAwayAlert #Internati…"
1373317699741179904,looking trends feeling mahavasooliaghadi anildeshmukh parambirsingh,"RT @SurajKu80869790: After Looking this trends, my feeling... 

#MahaVasooliAghadi
#AnilDeshmukh 
#ParambirSingh https://t.co/2Ih3slcoVO"
1373320018960777220,circus ka sabse bada joker aur h vazegateexplodes,"Circus ka sabse bada joker to @rautsanjay61 aur @OfficeofUT h 😂🤣 #VazeGateExplodes 
#MahaVasooliAghadi… https://t.co/PfR65pe7kz"
1373320595866193922,previous govt brilliant mla dilip sopal not u given opportunity dilip sopal,In previous govt there was a most brilliant MLA Dilip Sopal why don't u given opportunity to Dilip Sopal and now al… https://t.co/z5CTCEOA1T
1372623381489651719,hi thing credibility world health organizations investigation team also,"RT @HansMahncke: Hi @IntelTweet, the only thing that has no credibility is the World Health Organization's ""investigation"" team.

Also, the…"
1372622987648659457,trudeau embarrassed canada yet total incompetence got us situation begging,"RT @WeAreCanProud: Trudeau has embarrassed Canada yet again. 👇

His total incompetence got us into this situation and now he is begging for…"
1362083309694582786,french caribbean fights keep pesticide case alive washington post san juan puerto rico agricultural,"French Caribbean fights to keep pesticide case alive (Washington Post)

SAN JUAN, Puerto Rico - Agricultural worker… https://t.co/2GxGZhPmhe"
1373316886352433156,former mumbaipolicecommissioner param bir singh saturday claimed maharashtra home minister anildeshmukh,RT @TheDailyPioneer: Former #MumbaiPoliceCommissioner Param Bir Singh on Saturday claimed that #Maharashtra Home Minister #AnilDeshmukh wan…
1362079026970435587,hello fact bjp betrayed nation,"@DrKetanPatel6 @AmitShahOffice @AmitShah Hello @smritiirani 
The fact is that BJP has betrayed the nation, they lie… https://t.co/sFD1IASZDx"
1372908993991962631,stamaking purchases india instead italy find products use made india,@ANI @RahulGandhi should start making purchases in India instead of Italy and he will find most products we use are made in India.
1362093592009990155,nation still wants know mr canadian silent,#petrol100 Nation Still Wants to Know  Why are Mr. Canadian and T 753 is silent ???
1373319341555519491,maha govt sacked president rule required urgently state anildeshmukh,Maha Govt. should be sacked and President Rule required urgently in State.                    #AnilDeshmukh
1373168339892117505,neglect disrespect people west bengal suffered last years not forgotten wb,RT @SumanDu38124500: The neglect and disrespect that the people of West Bengal have suffered in the last 10 years cannot be forgotten. WB B…
1373319120922451968,maharashtra literally gone dogs sachinvaze mahavasooliaghadi anildeshmukh,"@TimesNow Maharashtra has literally gone to dogs. 
#SachinVaze #MahaVasooliAghadi #AnilDeshmukh #Maharashtra… https://t.co/gIS4ttWVdq"
1372622448646967298,putin played former guy continue play,@B52Malmet Putin played the former guy.  He will continue to play him.
1373319795458838541,party fund daal de anildeshmukh,"RT @Howsthejosh_: 1,00,00,00,000
Party fund me daal de 😅

#AnilDeshmukh https://t.co/emqteSU391"
1373169350094561280,bbsr happy commuters happy amp satisfied crut totally dedicated enrich experience keep,"RT @CRUT_BBSR: We are happy when our commuters are happy &amp; satisfied. At #CRUT we are totally dedicated to enrich your experience.

Keep tr…"
1372623152086454275,removing planned parenthood medicaid means removing abortion care health care screenings checkups,"RT @AuthorKimberley: Removing Planned Parenthood from Medicaid means removing abortion care, health care screenings, and checkups for women…"
1372623112664186884,telling cardi b keep music thing great candace,"@ushygushyputhy4 @iamcardib So you’re telling Cardi B to keep doing her music thing, great. Candace is just doing h… https://t.co/eSZHrKEgLK"
1372885014535233536,lakh families got housing crore families got electricity connection four years,"RT @RAHUL9262514: 40 lakh families got housing and 1.38 crore families got electricity connection in just four years in UP.

#योगीजी_के_4_…"
1362090923673403404,european couof human rights cedh demanded release russian opposition,The European Court of Human Rights (@ECHR_CEDH ) demanded the release of the @arrested #Russian opposition activist… https://t.co/CUDNFhvLkH
1373168306278912001,amidst negativity positive news day stay positive test,"https://t.co/IhoeiYj1vc

Amidst all the negativity, here’s the positive news of the day .. Stay positive and ‘test’… https://t.co/UvEspr2ARb"
1362097065376030722,freezing us biden seeks cool politics bbc news chronlaw politics news politics,"In freezing US, Biden seeks to cool down politics – BBC News – ChronLaw Politics News #Politics https://t.co/brXDv8N6rq"
1373318701198405632,lucky ki aaj match day hai anildeshmukh,He's so lucky ki aaj match day hai #AnilDeshmukh
1372623233606766594,proud boys leaders four states charged capitol riot boys not men proud exactly,Proud Boys Leaders in Four States Are Charged in Capitol Riot https://t.co/Z5cZbGm3bo BOYS NOT MEN! AND PROUD OF WHAT EXACTLY?
1373318168811241473,anil deshmukh parambirsingh everyone happy exposing today worldhappinessday,"From Anil Deshmukh to #ParambirSingh, everyone is happy exposing each other today. #WorldHappinessDay"
1373319100391288835,cm uddhavthackeray gt hm anildeshmukh gt cp parambirsingh gt api sachinvaze hm asked recovery crore per,"RT @bhawsar2424: CM #UddhavThackeray -&gt; HM #AnilDeshmukh -&gt; CP #ParambirSingh -&gt; API #SachinVaze 

HM asked recovery of 100 crore per month…"
1372884805281484802,population cr per day lakh job equals crore jobs days bjp completed years,"RT @dilshadM01: Population of UP 20.42 Cr.
Per Day 4 Lakh Job 
Equals to 20 Crore Jobs In 500 Days.
BJP in up completed 4 Years ( 1460 Day)…"
1372887735703273472,look difference bw two trends cell fire,"#4_साल_यूपी_बेहाल
Look at the Difference B/W Two Trends 
IT Cell is on Fire😂😂😂 https://t.co/1RUN15mJkj"
1372909463103926280,look talking behead people picture klled millions people across,"Look who is talking, those who behead people for a picture😂😂😂,   those who have k!!lled millions people across the… https://t.co/U0zrG8EZrb"
1372623252808290304,dumpy jr wants run governor new york,RT @AmberD1116: Dumpy Jr wants to run for governor of New York... https://t.co/Kq5StLhRAI
1362098512591208458,words rssbjp modi bakhtas raise question petrol price hike bakhtas,"RT @ViewofHabib: @ndtv Why no words from RSS-BJP Modi bakhtas ? If we raise the question about Petrol price hike, the bakhtas will counter…"
1372623150475747330,nancy pelosi calling trumps bluff calling checks gqp said absolutely not,"RT @MeidasTouch: Here is Nancy Pelosi calling Trump's bluff and calling for $2,000 checks. The GQP said ""absolutely not.""
https://t.co/CBHO…"
1372887047501803520,trending keep retweet behal trending bemisaal,"RT @Smiley54513208: #4_साल_यूपी_बेहाल
Now trending at no. 1 
Keep retweet ... 
Behal is now  trending above the bemisaal 
🤩✌️
@HansrajMeena…"
1373317782171881474,one corrupt state government uddhav thackrey anil deshmukh driving wasooli gang,@ABPNews One of the most corrupt state government . Uddhav Thackrey and Anil Deshmukh are driving wasooli gang. Bot… https://t.co/5RFJZUFaZD
1362092466334130176,nyc subway workers call protections amid uptick violence talks politics politic,NYC subway workers call for protections amid uptick in violence https://t.co/FAUMonQ80p  - @politic_talks #politics #politic
1372887003637772294,current bjp govt offence ask jobs,"RT @SattaSwarajya: Under the current BJP Govt. in UP, it is an offence to ask for jobs. #4_साल_यूपी_बेहाल 
#4_साल_यूपी_बेहाल https://t.co/Y…"
1373321038033948674,looks like bjp marinating babypenguin ampbaba penguin til date hav started cooking soon entire dish,"Looks like #BJP was marinating #BabyPenguin &amp;Baba penguin til date
Now they hav started cooking. Soon entire dish w… https://t.co/lZuVtndz4Y"
1372622588355215367,hello putin ones always trying get santions release,"https://t.co/iFYFZNoejc
Hello putin it's we the ones that always trying to get all of your santions release.
All of… https://t.co/XGTwZEzcBH"
1362080205796376580,modihaitomehangaihai corona warrior death covid hospital safdarjung delhi private employee jo general opd,"RT @Sagar94363265: #ModiHaiToMehangaiHai Corona warrior death 14.06.20 covid hospital safdarjung Delhi, private employee jo general opd pat…"
1362093337163964417,via trump supporter charged murder gunning woman yard sign,Via @RawStory: Trump supporter charged with 2nd-degree murder after gunning down woman during yard sign dispute… https://t.co/2XDyxdNpgo
1373168307570835456,prime minister ji conduct massive rally bnr maidan kharagpur save people,"Prime Minister @narendramodi Ji will conduct a massive rally at BNR Maidan in Kharagpur, to save the people of Beng… https://t.co/e8HAUjnZBZ"
1373319068430692353,always cards bhelpuri sarkar anildeshmukh sachinwaze parambirsingh nothing new,Was always on cards with bhelpuri Sarkar #AnilDeshmukh #SachinWaze #ParambirSingh #100Crore nothing new for them.....
1362080906664579073,pawrihorahihai ft legendary scientist da love experiments like insulting everyone including,#PawriHoRahiHai ft. Legendary Scientist @DilipGhoshBJP Da who love experiments like insulting everyone including th… https://t.co/6RymfC3JKg
1372907648115425288,read entire thread know genesis ideology pakistan founding fathershow far,RT @ZaidZamanHamid: Read this entire thread to know the Genesis of the ideology of Pakistan and our founding fathers...How far have we stra…
1372623248760975363,isnt civil servants ashamed foreign secretary repeatedly saying one thing,RT @lisanandy: It isn't the civil servants who should be ashamed - it should be the Foreign Secretary who is repeatedly saying one thing in…
1372902627172786181,made india upto mark till date,"Only ""Made In India"" Which Is Upto The Mark Till Date. ❣️
😘👇 https://t.co/Ze2dW0APfz"
1372906121770328065,saynotocrackers download made india app,"RT @HopeApp1: #saynotocrackers
https://t.co/eYMs0vZsum
download ""Made in India"" app https://t.co/pB2Gqca2ay"
1373168556964073476,face ongoing global crisis together two simple practices help us uplift amp others,"RT @SSRFINC: As we face an ongoing global crisis together, two simple practices that can help us uplift ourselves &amp; others 🧘‍♀️🧘

🔹Chanting…"
1372623058494705670,biden defense secretary warns us forces ready fight tonight north korea warning fox news,Biden defense secretary warns US forces ready to 'fight tonight' after North Korea warning | Fox News https://t.co/qAIjrXRVuQ
1372884833991499783,best performing cm india agree,"Best performing CM in India. RT if you agree.🚩🇮🇳❤️
#योगीजी_के_4_साल_बेमिसाल https://t.co/TEgMN1RFxF"
